customer_id,recommended_product_id,score
C000032,P00110,0.0797
C000032,P00413,0.0787
C000032,P00325,0.0766
C000032,P00580,0.0521
C000032,P00210,0.0503
C000033,P00538,0.1235
C000033,P00229,0.092
C000033,P00233,0.087
C000033,P00206,0.0854
C000033,P00161,0.0851
C000034,P00527,0.0906
C000034,P00491,0.0892
C000034,P00483,0.0868
C000034,P00341,0.0866
C000034,P00582,0.0858
C000035,P00410,0.1575
C000035,P00556,0.1371
C000035,P00529,0.1165
C000035,P00078,0.1162
C000035,P00051,0.1153
C000036,P00184,0.0922
C000036,P00118,0.0787
C000036,P00097,0.0756
C000036,P00148,0.075
C000036,P00025,0.0724
C000037,P00248,0.1125
C000037,P00229,0.0933
C000037,P00421,0.0905
C000037,P00279,0.0891
C000037,P00067,0.0822
C000038,P00220,0.1155
C000038,P00347,0.0994
C000038,P00580,0.098
C000038,P00534,0.0884
C000038,P00378,0.087
C000039,P00186,0.2126
C000039,P00007,0.1899
C000039,P00587,0.1851
C000039,P00450,0.1579
C000039,P00570,0.1568
C000040,P00566,0.1941
C000040,P00117,0.1887
C000040,P00515,0.1666
C000040,P00310,0.162
C000040,P00553,0.1538
C000041,P00515,0.1198
C000041,P00078,0.0915
C000041,P00359,0.0853
C000041,P00050,0.0808
C000041,P00484,0.0801
C000042,P00255,0.154
C000042,P00025,0.122
C000042,P00236,0.1209
C000042,P00283,0.1157
C000042,P00207,0.1149
C000043,P00156,0.1269
C000043,P00267,0.1258
C000043,P00223,0.1248
C000043,P00120,0.115
C000043,P00144,0.1145
C000044,P00488,0.1698
C000044,P00489,0.1584
C000044,P00051,0.1472
C000044,P00539,0.1248
C000044,P00540,0.1221
C000045,P00526,0.2133
C000045,P00178,0.1704
C000045,P00491,0.1697
C000045,P00118,0.1657
C000045,P00476,0.16
C000046,P00362,0.1264
C000046,P00405,0.094
C000046,P00491,0.093
C000046,P00526,0.0911
C000046,P00178,0.0883
C000047,P00535,0.1536
C000047,P00073,0.1212
C000047,P00553,0.1189
C000047,P00325,0.1169
C000047,P00267,0.1168
C000048,P00578,0.2096
C000048,P00538,0.1671
C000048,P00457,0.157
C000048,P00154,0.1279
C000048,P00077,0.1209
C000049,P00526,0.2164
C000049,P00260,0.1878
C000049,P00509,0.1586
C000049,P00302,0.1314
C000049,P00258,0.1314
C000050,P00364,0.1256
C000050,P00016,0.1133
C000050,P00076,0.0836
C000050,P00306,0.0829
C000050,P00046,0.0826
C000051,P00018,0.1176
C000051,P00499,0.1142
C000051,P00173,0.1125
C000051,P00088,0.0979
C000051,P00322,0.0951
C000052,P00579,0.1701
C000052,P00047,0.1611
C000052,P00600,0.1277
C000052,P00351,0.1214
C000052,P00055,0.1201
C000053,P00056,0.1268
C000053,P00105,0.1247
C000053,P00547,0.1166
C000053,P00364,0.0872
C000053,P00255,0.0858
C000054,P00331,0.1698
C000054,P00460,0.1575
C000054,P00327,0.1342
C000054,P00126,0.1293
C000054,P00138,0.1237
C000055,P00150,0.057
C000055,P00260,0.0473
C000055,P00427,0.0459
C000055,P00338,0.0455
C000055,P00448,0.044
C000056,P00227,0.0765
C000056,P00566,0.0734
C000056,P00261,0.0481
C000056,P00034,0.0477
C000056,P00058,0.0473
C000057,P00005,0.0865
C000057,P00054,0.085
C000057,P00035,0.0838
C000057,P00165,0.0837
C000057,P00423,0.0831
C000058,P00118,0.1625
C000058,P00004,0.1291
C000058,P00100,0.1254
C000058,P00407,0.1247
C000058,P00581,0.1222
C000059,P00120,0.1675
C000059,P00255,0.1241
C000059,P00262,0.1237
C000059,P00296,0.1232
C000059,P00494,0.1211
C000060,P00117,0.1238
C000060,P00050,0.1218
C000060,P00119,0.115
C000060,P00445,0.0873
C000060,P00494,0.0871
C000061,P00329,0.1221
C000061,P00020,0.1201
C000061,P00516,0.0957
C000061,P00524,0.089
C000061,P00084,0.0883
C000062,P00186,0.1245
C000062,P00024,0.1111
C000062,P00250,0.0894
C000062,P00376,0.0876
C000062,P00013,0.0867
C000063,P00273,0.0866
C000063,P00201,0.0852
C000063,P00399,0.0836
C000063,P00598,0.0833
C000063,P00239,0.0819
C000064,P00059,0.1348
C000064,P00020,0.1292
C000064,P00582,0.1247
C000064,P00435,0.1187
C000064,P00323,0.1179
C000065,P00491,0.0879
C000065,P00051,0.083
C000065,P00452,0.0808
C000065,P00354,0.0802
C000065,P00004,0.08
C000066,P00207,0.1575
C000066,P00407,0.1524
C000066,P00219,0.136
C000066,P00493,0.1213
C000066,P00024,0.1202
C000067,P00425,0.1346
C000067,P00471,0.1252
C000067,P00300,0.1148
C000067,P00018,0.1102
C000067,P00476,0.098
C000068,P00392,0.1296
C000068,P00175,0.1229
C000068,P00577,0.1182
C000068,P00529,0.1169
C000068,P00051,0.1112
C000069,P00580,0.1278
C000069,P00113,0.1137
C000069,P00270,0.1112
C000069,P00105,0.0791
C000069,P00159,0.0789
C000070,P00209,0.1278
C000070,P00565,0.1208
C000070,P00206,0.12
C000070,P00007,0.1149
C000070,P00422,0.0902
C000071,P00544,0.0931
C000071,P00360,0.0884
C000071,P00042,0.0862
C000071,P00411,0.0838
C000071,P00075,0.0833
C000072,P00069,0.1262
C000072,P00259,0.126
C000072,P00445,0.1239
C000072,P00139,0.1209
C000072,P00456,0.1182
C000073,P00395,0.1
C000073,P00337,0.0978
C000073,P00216,0.0819
C000073,P00476,0.0782
C000073,P00265,0.0506
C000074,P00044,0.1181
C000074,P00192,0.1037
C000074,P00209,0.0871
C000074,P00268,0.0871
C000074,P00103,0.0865
C000075,P00248,0.1146
C000075,P00566,0.0821
C000075,P00436,0.0817
C000075,P00206,0.0814
C000075,P00106,0.0808
C000076,P00390,0.1578
C000076,P00259,0.1243
C000076,P00560,0.1161
C000076,P00300,0.115
C000076,P00102,0.1127
C000077,P00097,0.1236
C000077,P00395,0.098
C000077,P00241,0.0903
C000077,P00483,0.0856
C000077,P00362,0.0853
C000078,P00510,0.1138
C000078,P00169,0.0955
C000078,P00483,0.0896
C000078,P00143,0.0879
C000078,P00465,0.0865
C000079,P00144,0.2001
C000079,P00476,0.1692
C000079,P00382,0.1304
C000079,P00115,0.1272
C000079,P00190,0.1259
C000080,P00337,0.1305
C000080,P00456,0.1288
C000080,P00489,0.1282
C000080,P00421,0.1218
C000080,P00176,0.1206
C000081,P00084,0.1606
C000081,P00599,0.1357
C000081,P00009,0.1151
C000081,P00304,0.1135
C000081,P00045,0.1132
C000082,P00017,0.1231
C000082,P00420,0.0944
C000082,P00245,0.0812
C000082,P00057,0.0755
C000082,P00278,0.0747
C000083,P00311,0.0806
C000083,P00132,0.0792
C000083,P00267,0.0738
C000083,P00566,0.0544
C000083,P00184,0.0504
C000084,P00223,0.2291
C000084,P00436,0.1663
C000084,P00260,0.1573
C000084,P00380,0.1523
C000084,P00404,0.1336
C000085,P00025,0.2043
C000085,P00110,0.1649
C000085,P00048,0.1616
C000085,P00489,0.1563
C000085,P00244,0.156
C000086,P00204,0.1233
C000086,P00252,0.1145
C000086,P00555,0.0995
C000086,P00059,0.0877
C000086,P00137,0.0839
C000087,P00059,0.1568
C000087,P00566,0.1296
C000087,P00506,0.129
C000087,P00267,0.1287
C000087,P00491,0.1252
C000088,P00157,0.1149
C000088,P00116,0.1136
C000088,P00291,0.0925
C000088,P00025,0.0905
C000088,P00559,0.0904
C000089,P00105,0.1981
C000089,P00329,0.1901
C000089,P00476,0.1673
C000089,P00386,0.1636
C000089,P00186,0.1628
C000090,P00175,0.1964
C000090,P00137,0.1683
C000090,P00259,0.1334
C000090,P00370,0.1332
C000090,P00254,0.1276
C000091,P00465,0.1263
C000091,P00297,0.0946
C000091,P00065,0.091
C000091,P00583,0.086
C000091,P00238,0.0855
C000092,P00190,0.2201
C000092,P00476,0.1994
C000092,P00360,0.1757
C000092,P00364,0.1553
C000092,P00019,0.1317
C000093,P00409,0.1149
C000093,P00336,0.1144
C000093,P00381,0.0943
C000093,P00014,0.0844
C000093,P00052,0.083
C000094,P00069,0.1694
C000094,P00018,0.1626
C000094,P00133,0.1526
C000094,P00384,0.1307
C000094,P00370,0.1297
C000095,P00511,0.1122
C000095,P00530,0.0807
C000095,P00381,0.0794
C000095,P00434,0.0784
C000095,P00269,0.0772
C000096,P00547,0.1876
C000096,P00415,0.1229
C000096,P00327,0.1212
C000096,P00098,0.1191
C000096,P00105,0.1187
C000097,P00267,0.0883
C000097,P00298,0.0839
C000097,P00138,0.0837
C000097,P00165,0.0825
C000097,P00102,0.0813
C000098,P00376,0.0951
C000098,P00255,0.0748
C000098,P00260,0.0742
C000098,P00516,0.0487
C000098,P00174,0.0484
C000099,P00413,0.1239
C000099,P00560,0.0863
C000099,P00359,0.0842
C000099,P00587,0.0839
C000099,P00293,0.083
C000100,P00273,0.1578
C000100,P00296,0.1318
C000100,P00138,0.1138
C000100,P00105,0.0974
C000100,P00397,0.0918
C000101,P00116,0.1769
C000101,P00264,0.1238
C000101,P00548,0.0974
C000101,P00439,0.0945
C000101,P00199,0.0905
C000102,P00409,0.0877
C000102,P00408,0.0846
C000102,P00095,0.0827
C000102,P00086,0.0795
C000102,P00308,0.0778
C000103,P00407,0.0845
C000103,P00292,0.0753
C000103,P00553,0.0717
C000103,P00445,0.0548
C000103,P00092,0.0495
C000104,P00180,0.1124
C000104,P00210,0.0947
C000104,P00594,0.0916
C000104,P00423,0.0913
C000104,P00363,0.0888
C000105,P00107,0.122
C000105,P00144,0.1199
C000105,P00284,0.1151
C000105,P00121,0.1138
C000105,P00385,0.1119
C000106,P00579,0.1283
C000106,P00331,0.1149
C000106,P00370,0.099
C000106,P00242,0.0902
C000106,P00216,0.0896
C000107,P00188,0.162
C000107,P00525,0.1272
C000107,P00411,0.1229
C000107,P00105,0.1222
C000107,P00229,0.1207
C000108,P00003,0.0514
C000108,P00130,0.0511
C000108,P00299,0.0493
C000108,P00034,0.0461
C000108,P00162,0.0458
C000109,P00099,0.209
C000109,P00079,0.1589
C000109,P00595,0.1304
C000109,P00399,0.1275
C000109,P00441,0.1251
C000110,P00037,0.1813
C000110,P00441,0.1638
C000110,P00494,0.157
C000110,P00534,0.1283
C000110,P00121,0.1261
C000111,P00156,0.1309
C000111,P00004,0.1293
C000111,P00337,0.1251
C000111,P00152,0.1163
C000111,P00158,0.1154
C000112,P00128,0.1532
C000112,P00184,0.0871
C000112,P00376,0.0828
C000112,P00536,0.0807
C000112,P00578,0.0803
C000113,P00205,0.1992
C000113,P00192,0.1801
C000113,P00223,0.1772
C000113,P00421,0.1581
C000113,P00403,0.155
C000114,P00331,0.1639
C000114,P00105,0.1544
C000114,P00051,0.1534
C000114,P00320,0.1307
C000114,P00036,0.1259
C000115,P00429,0.1286
C000115,P00078,0.1212
C000115,P00212,0.1199
C000115,P00537,0.1161
C000115,P00301,0.1161
C000116,P00276,0.1967
C000116,P00580,0.1643
C000116,P00063,0.1616
C000116,P00116,0.1604
C000116,P00502,0.1581
C000117,P00156,0.1265
C000117,P00074,0.123
C000117,P00560,0.121
C000117,P00458,0.1197
C000117,P00454,0.1165
C000118,P00570,0.1217
C000118,P00078,0.1217
C000118,P00368,0.1194
C000118,P00154,0.1174
C000118,P00305,0.0863
C000119,P00572,0.0898
C000119,P00355,0.0845
C000119,P00314,0.0845
C000119,P00229,0.0837
C000119,P00357,0.0833
C000120,P00206,0.1639
C000120,P00198,0.1225
C000120,P00180,0.12
C000120,P00217,0.1152
C000120,P00199,0.1129
C000121,P00442,0.0798
C000121,P00046,0.0778
C000121,P00007,0.0742
C000121,P00036,0.0738
C000121,P00383,0.0727
C000122,P00244,0.1283
C000122,P00298,0.1004
C000122,P00148,0.0878
C000122,P00264,0.0864
C000122,P00175,0.0857
C000123,P00544,0.1256
C000123,P00267,0.1206
C000123,P00527,0.1161
C000123,P00370,0.1131
C000123,P00241,0.0873
C000124,P00359,0.0924
C000124,P00256,0.0828
C000124,P00259,0.0799
C000124,P00222,0.079
C000124,P00078,0.0765
C000125,P00036,0.1562
C000125,P00448,0.1264
C000125,P00436,0.1197
C000125,P00307,0.1158
C000125,P00499,0.1139
C000126,P00334,0.1561
C000126,P00190,0.1341
C000126,P00300,0.1291
C000126,P00186,0.1244
C000126,P00038,0.1228
C000127,P00460,0.0838
C000127,P00541,0.0835
C000127,P00288,0.0825
C000127,P00206,0.0819
C000127,P00520,0.0815
C000128,P00279,0.1287
C000128,P00395,0.1256
C000128,P00022,0.1232
C000128,P00121,0.1191
C000128,P00336,0.1167
C000129,P00476,0.1697
C000129,P00511,0.1609
C000129,P00383,0.114
C000129,P00108,0.1136
C000129,P00055,0.1107
C000130,P00493,0.1239
C000130,P00401,0.1184
C000130,P00143,0.096
C000130,P00532,0.0942
C000130,P00456,0.0869
C000131,P00078,0.1567
C000131,P00014,0.1175
C000131,P00152,0.1055
C000131,P00270,0.1002
C000131,P00277,0.0939
C000132,P00076,0.0854
C000132,P00256,0.0843
C000132,P00541,0.0837
C000132,P00296,0.0831
C000132,P00384,0.0829
C000133,P00488,0.1543
C000133,P00146,0.1516
C000133,P00493,0.1326
C000133,P00492,0.1271
C000133,P00097,0.1234
C000134,P00279,0.1635
C000134,P00223,0.1202
C000134,P00040,0.1171
C000134,P00467,0.1095
C000134,P00330,0.096
C000135,P00307,0.1592
C000135,P00522,0.1527
C000135,P00544,0.1314
C000135,P00473,0.1312
C000135,P00579,0.1254
C000136,P00451,0.1646
C000136,P00310,0.119
C000136,P00043,0.1145
C000136,P00413,0.1078
C000136,P00138,0.097
C000137,P00250,0.1261
C000137,P00268,0.1247
C000137,P00129,0.1196
C000137,P00325,0.1164
C000137,P00403,0.1164
C000138,P00050,0.1227
C000138,P00187,0.0853
C000138,P00469,0.0812
C000138,P00070,0.0784
C000138,P00592,0.0772
C000139,P00566,0.122
C000139,P00233,0.1219
C000139,P00415,0.118
C000139,P00012,0.1178
C000139,P00588,0.1162
C000140,P00382,0.1993
C000140,P00367,0.1249
C000140,P00116,0.1196
C000140,P00099,0.1191
C000140,P00467,0.1184
C000141,P00375,0.1586
C000141,P00110,0.1533
C000141,P00223,0.1321
C000141,P00053,0.1256
C000141,P00207,0.1241
C000142,P00206,0.0975
C000142,P00474,0.0875
C000142,P00283,0.0863
C000142,P00439,0.083
C000142,P00552,0.0757
C000143,P00541,0.1283
C000143,P00455,0.1248
C000143,P00440,0.1243
C000143,P00167,0.116
C000143,P00352,0.1132
C000144,P00515,0.1301
C000144,P00208,0.1228
C000144,P00528,0.121
C000144,P00144,0.1204
C000144,P00056,0.1183
C000145,P00354,0.1168
C000145,P00519,0.0961
C000145,P00376,0.09
C000145,P00441,0.0884
C000145,P00209,0.0812
C000146,P00319,0.0909
C000146,P00198,0.0801
C000146,P00182,0.0788
C000146,P00440,0.0781
C000146,P00099,0.0768
C000147,P00475,0.1309
C000147,P00476,0.1179
C000147,P00212,0.1178
C000147,P00187,0.1174
C000147,P00483,0.0915
C000148,P00519,0.0931
C000148,P00291,0.0902
C000148,P00309,0.0877
C000148,P00009,0.0842
C000148,P00099,0.083
C000149,P00425,0.094
C000149,P00476,0.0894
C000149,P00456,0.0848
C000149,P00570,0.0842
C000149,P00181,0.0817
C000150,P00494,0.1105
C000150,P00205,0.1104
C000150,P00515,0.092
C000150,P00598,0.0869
C000150,P00370,0.0859
C000151,P00477,0.0775
C000151,P00260,0.076
C000151,P00205,0.0755
C000151,P00119,0.0746
C000151,P00399,0.051
C000152,P00139,0.0501
C000152,P00392,0.0444
C000152,P00436,0.0436
C000152,P00249,0.0434
C000152,P00412,0.0423
C000153,P00578,0.1451
C000153,P00425,0.1246
C000153,P00006,0.1221
C000153,P00259,0.1141
C000153,P00083,0.1136
C000154,P00508,0.1232
C000154,P00290,0.12
C000154,P00060,0.0929
C000154,P00560,0.0878
C000154,P00369,0.0868
C000155,P00417,0.1487
C000155,P00486,0.143
C000155,P00172,0.1326
C000155,P00336,0.1294
C000155,P00014,0.1191
C000156,P00355,0.0868
C000156,P00164,0.051
C000156,P00122,0.0504
C000156,P00322,0.0491
C000156,P00204,0.0486
C000157,P00095,0.1134
C000157,P00269,0.092
C000157,P00292,0.088
C000157,P00140,0.0878
C000157,P00319,0.0856
C000158,P00207,0.1125
C000158,P00399,0.0826
C000158,P00006,0.0789
C000158,P00600,0.0782
C000158,P00306,0.0755
C000159,P00578,0.1714
C000159,P00448,0.1588
C000159,P00381,0.158
C000159,P00323,0.1514
C000159,P00186,0.1359
C000160,P00098,0.1693
C000160,P00528,0.1641
C000160,P00412,0.1638
C000160,P00236,0.1567
C000160,P00115,0.1186
C000161,P00089,0.1149
C000161,P00129,0.1137
C000161,P00483,0.0935
C000161,P00239,0.0924
C000161,P00249,0.0903
C000162,P00016,0.1195
C000162,P00582,0.0893
C000162,P00264,0.0875
C000162,P00032,0.0853
C000162,P00272,0.0843
C000163,P00376,0.1247
C000163,P00401,0.0835
C000163,P00054,0.0825
C000163,P00312,0.0782
C000163,P00244,0.0782
C000164,P00368,0.1261
C000164,P00581,0.1224
C000164,P00264,0.1135
C000164,P00594,0.1097
C000164,P00050,0.0889
C000165,P00592,0.1597
C000165,P00311,0.1561
C000165,P00143,0.1324
C000165,P00101,0.1223
C000165,P00166,0.1215
C000166,P00301,0.1286
C000166,P00057,0.1138
C000166,P00397,0.0878
C000166,P00429,0.0851
C000166,P00528,0.0848
C000167,P00588,0.1648
C000167,P00220,0.1561
C000167,P00036,0.1248
C000167,P00469,0.1221
C000167,P00110,0.1189
C000168,P00016,0.1169
C000168,P00529,0.1169
C000168,P00283,0.1159
C000168,P00379,0.1143
C000168,P00451,0.113
C000169,P00491,0.1248
C000169,P00562,0.1194
C000169,P00134,0.0917
C000169,P00045,0.0893
C000169,P00556,0.0885
C000170,P00267,0.1678
C000170,P00044,0.1624
C000170,P00285,0.1501
C000170,P00527,0.1328
C000170,P00144,0.1243
C000171,P00339,0.1272
C000171,P00244,0.1173
C000171,P00080,0.1158
C000171,P00267,0.0909
C000171,P00342,0.0902
C000172,P00003,0.1738
C000172,P00270,0.1285
C000172,P00212,0.118
C000172,P00381,0.1145
C000172,P00178,0.113
C000173,P00098,0.0572
C000173,P00114,0.0523
C000173,P00570,0.051
C000173,P00347,0.0487
C000173,P00058,0.0463
C000174,P00587,0.133
C000174,P00473,0.1276
C000174,P00413,0.1256
C000174,P00399,0.1251
C000174,P00368,0.1245
C000175,P00309,0.1199
C000175,P00078,0.081
C000175,P00179,0.0792
C000175,P00381,0.0784
C000175,P00584,0.0784
C000176,P00034,0.1251
C000176,P00144,0.1196
C000176,P00337,0.0886
C000176,P00162,0.0866
C000176,P00598,0.0855
C000177,P00236,0.1284
C000177,P00306,0.1261
C000177,P00439,0.1201
C000177,P00438,0.1183
C000177,P00451,0.115
C000178,P00347,0.117
C000178,P00421,0.1154
C000178,P00294,0.0917
C000178,P00160,0.0892
C000178,P00164,0.088
C000179,P00079,0.1314
C000179,P00385,0.1238
C000179,P00595,0.1235
C000179,P00371,0.1228
C000179,P00541,0.1223
C000180,P00139,0.1194
C000180,P00036,0.0963
C000180,P00431,0.0896
C000180,P00109,0.0883
C000180,P00054,0.0876
C000181,P00013,0.1918
C000181,P00415,0.1241
C000181,P00453,0.121
C000181,P00553,0.1203
C000181,P00399,0.1174
C000182,P00290,0.1267
C000182,P00006,0.1239
C000182,P00307,0.1165
C000182,P00443,0.1138
C000182,P00455,0.0993
C000183,P00063,0.1575
C000183,P00192,0.1466
C000183,P00035,0.1278
C000183,P00290,0.1269
C000183,P00256,0.1258
C000184,P00536,0.1197
C000184,P00368,0.1181
C000184,P00327,0.112
C000184,P00051,0.1114
C000184,P00580,0.0919
C000185,P00591,0.0825
C000185,P00077,0.0791
C000185,P00565,0.0785
C000185,P00065,0.074
C000185,P00457,0.0729
C000186,P00192,0.1607
C000186,P00255,0.1543
C000186,P00548,0.1356
C000186,P00010,0.1231
C000186,P00038,0.1202
C000187,P00215,0.1603
C000187,P00592,0.1595
C000187,P00312,0.1532
C000187,P00199,0.1214
C000187,P00361,0.121
C000188,P00521,0.1284
C000188,P00031,0.1236
C000188,P00278,0.0904
C000188,P00407,0.0866
C000188,P00210,0.0864
C000189,P00600,0.1655
C000189,P00051,0.1279
C000189,P00455,0.127
C000189,P00205,0.1253
C000189,P00569,0.1243
C000190,P00476,0.0966
C000190,P00078,0.0855
C000190,P00117,0.0839
C000190,P00296,0.0822
C000190,P00298,0.0818
C000191,P00559,0.1988
C000191,P00528,0.1934
C000191,P00460,0.1684
C000191,P00236,0.168
C000191,P00412,0.1634
C000192,P00493,0.1545
C000192,P00279,0.1344
C000192,P00395,0.1237
C000192,P00256,0.1202
C000192,P00112,0.1145
C000193,P00540,0.1166
C000193,P00229,0.0934
C000193,P00279,0.0893
C000193,P00515,0.0877
C000193,P00139,0.087
C000194,P00457,0.1629
C000194,P00152,0.1582
C000194,P00135,0.1318
C000194,P00346,0.1266
C000194,P00273,0.1263
C000195,P00184,0.1319
C000195,P00298,0.1271
C000195,P00310,0.1249
C000195,P00491,0.1246
C000195,P00525,0.1206
C000196,P00079,0.2063
C000196,P00568,0.168
C000196,P00494,0.1616
C000196,P00355,0.1314
C000196,P00495,0.1307
C000197,P00423,0.127
C000197,P00404,0.1236
C000197,P00210,0.0872
C000197,P00138,0.0846
C000197,P00377,0.0839
C000198,P00434,0.1186
C000198,P00467,0.1185
C000198,P00017,0.1183
C000198,P00202,0.1176
C000198,P00189,0.1136
C000199,P00537,0.1111
C000199,P00188,0.0994
C000199,P00010,0.0883
C000199,P00184,0.0858
C000199,P00527,0.0829
C000200,P00250,0.121
C000200,P00573,0.0912
C000200,P00066,0.0882
C000200,P00384,0.0879
C000200,P00037,0.0878
C000201,P00146,0.1589
C000201,P00099,0.1538
C000201,P00151,0.1516
C000201,P00186,0.1289
C000201,P00448,0.126
C000202,P00051,0.128
C000202,P00220,0.127
C000202,P00319,0.1231
C000202,P00547,0.1089
C000202,P00291,0.0911
C000203,P00236,0.1266
C000203,P00240,0.1231
C000203,P00600,0.1207
C000203,P00574,0.1161
C000203,P00399,0.0961
C000204,P00451,0.1683
C000204,P00069,0.1532
C000204,P00210,0.1345
C000204,P00129,0.1271
C000204,P00147,0.1268
C000205,P00535,0.1505
C000205,P00555,0.13
C000205,P00476,0.1256
C000205,P00264,0.0901
C000205,P00500,0.0874
C000206,P00395,0.0921
C000206,P00337,0.0856
C000206,P00185,0.0835
C000206,P00231,0.0813
C000206,P00237,0.0808
C000207,P00325,0.16
C000207,P00157,0.1216
C000207,P00112,0.1208
C000207,P00182,0.1162
C000207,P00434,0.1157
C000208,P00493,0.1606
C000208,P00500,0.124
C000208,P00100,0.1179
C000208,P00354,0.1148
C000208,P00334,0.1114
C000209,P00217,0.1661
C000209,P00400,0.1293
C000209,P00129,0.1269
C000209,P00182,0.1251
C000209,P00294,0.1228
C000210,P00494,0.1307
C000210,P00359,0.1265
C000210,P00102,0.121
C000210,P00098,0.0932
C000210,P00355,0.0894
C000211,P00548,0.1555
C000211,P00390,0.1349
C000211,P00100,0.1148
C000211,P00454,0.114
C000211,P00435,0.1135
C000212,P00434,0.086
C000212,P00541,0.0757
C000212,P00438,0.0756
C000212,P00145,0.0752
C000212,P00336,0.053
C000213,P00250,0.0783
C000213,P00494,0.0735
C000213,P00088,0.0592
C000213,P00600,0.0512
C000213,P00079,0.0477
C000214,P00369,0.0834
C000214,P00461,0.0816
C000214,P00107,0.0802
C000214,P00434,0.0792
C000214,P00456,0.0784
C000215,P00473,0.1282
C000215,P00203,0.1278
C000215,P00281,0.1251
C000215,P00206,0.1204
C000215,P00441,0.1189
C000216,P00509,0.1177
C000216,P00035,0.0859
C000216,P00042,0.0843
C000216,P00182,0.0815
C000216,P00553,0.0811
C000217,P00491,0.1267
C000217,P00122,0.118
C000217,P00268,0.0972
